-200 	1100100000100010
-166 	1100100000100011
-161 	1100100000100100
-150 	1100100000100101
-146 	10000010111001
-143 	1100100000100110
-142 	1100100000100111
-140 	1100100000101000
-139 	101101111011011
-138 	1100100000101001
-137 	1100100000101010
-136 	101101111011100
-134 	1100100000101011
-132 	101101111011101
-131 	1100100000101100
-128 	101101111011110
-125 	1100100000101101
-124 	10110111100100
-122 	1100100000101110
-120 	101101111011111
-118 	10000010111010
-116 	101101111100000
-115 	1100100000101111
-114 	101101111100001
-113 	101101111100010
-112 	101101111100011
-111 	101101111100100
-110 	10000010111011
-109 	10000010111100
-107 	10110111100101
-106 	001000100101000
-105 	10000010111101
-104 	001000100101001
-103 	1000001010101
-102 	1000001010110
-101 	101101111100101
-100 	101101111100110
-99 	10110111100110
-98 	10110111100111
-97 	1000001010111
-96 	1010000101101
-95 	10000010111110
-94 	1011011101110
-93 	10000010111111
-92 	1010000101110
-91 	1011011101111
-90 	1000001011000
-89 	1110100011000
-88 	11101101001110
-87 	10110011010100
-86 	11101101001111
-85 	0001011001000
-84 	1010000101111
-83 	001000100100
-82 	1011000010000
-81 	1011000010001
-80 	1110100011001
-79 	1011011110000
-78 	0001011001001
-77 	101101110010
-76 	100000100101
-75 	1110101001010
-74 	100000100110
-73 	1011000010010
-72 	1110110100011
-71 	1011000010011
-70 	101100110011
-69 	101100110100
-68 	111010111101
-67 	100000100111
-66 	101000010100
-65 	100010101100
-64 	111010111110
-63 	101101110011
-62 	110010111010
-61 	100000101000
-60 	1110110100100
-59 	00010110011
-58 	100010101101
-57 	00100010000
-56 	10001010111
-55 	00010100100
-54 	101101110100
-53 	10100001000
-52 	10100001001
-51 	00010100101
-50 	10001000101
-49 	10000010000
-48 	10110111000
-47 	10000010001
-46 	11001011100
-45 	11101101100
-44 	1000000010
-43 	1000001101
-42 	0001011000
-41 	11101101101
-40 	1000110011
-39 	1000110100
-38 	1000001110
-37 	1011011000
-36 	1011000001
-35 	1000110101
-34 	1100100001
-33 	001000110
-32 	1110101000
-31 	1110101100
-30 	1110110111
-29 	1110100010
-28 	001001110
-27 	000101000
-26 	001001111
-25 	100000000
-24 	100011000
-23 	101000011
-22 	101000000
-21 	101000001
-20 	110010011
-19 	111010000
-18 	111011000
-17 	111011001
-16 	00010101
-15 	00010111
-14 	10001001
-13 	11000110
-12 	11000111
-11 	0010010
-10 	1000111
-9 	1011010
-8 	1110111
-7 	101001
-6 	110011
-5 	00101
-4 	10111
-3 	0000
-2 	1001
-1 	1111
0 	01
1 	1101
2 	0011
3 	11100
4 	10101
5 	00011
6 	110000
7 	100001
8 	000100
9 	1100010
10 	1010001
11 	0010000
12 	11101001
13 	11001010
14 	10110010
15 	10110001
16 	10001011
17 	00100110
18 	10000001
19 	111010101
20 	110010010
21 	110010001
22 	101101101
23 	100010000
24 	101100111
25 	001000111
26 	100011011
27 	1110101101
28 	001000101
29 	000101101
30 	1110101110
31 	1100101100
32 	1100101111
33 	1000100011
34 	1011000000
35 	1000110010
36 	1000001100
37 	1011011001
38 	1000101000
39 	1011000011
40 	1000101001
41 	10110111111
42 	11101010011
43 	11001011010
44 	11101101010
45 	0001010011
46 	1000000011
47 	11001000000
48 	10110011000
49 	11101101011
50 	10110011011
51 	11001011011
52 	10000011110
53 	10110000101
54 	10001010100
55 	111010001101
56 	00100010011
57 	111010111100
58 	100010101010
59 	111010001110
60 	10000011111
61 	10001000100
62 	101100110010
63 	1110101001011
64 	100010101011
65 	111010001111
66 	1011001101011
67 	111010100100
68 	1010000101010
69 	1110101111110
70 	000101100101
71 	110010000011
72 	001000100010
73 	1110101111111
74 	100000100100
75 	1100101110110
76 	1100101110111
77 	001000100011
78 	1110110100000
79 	11101101001010
80 	11101101001011
81 	1011011101010
82 	1110110100001
83 	1011011101011
84 	0010001001011
85 	1011011101100
86 	00100010010101
87 	1110110100010
88 	1000001010010
89 	1000001010011
90 	1010000101011
91 	10000010110010
92 	101101111010000
93 	1000001010100
94 	10000010110011
95 	101101111010001
96 	11101101001100
97 	10000010110100
98 	10000010110101
99 	11101101001101
100 	1010000101100
101 	10000010110110
102 	10110011010101
103 	101101111010010
104 	1011011101101
105 	1011011111001110
106 	101101111010011
107 	10110111100010
108 	101101111010100
109 	101101111010101
111 	101101111010110
112 	101101111010111
113 	10110111100011
115 	1011011111001111
117 	1011011111010000
118 	1011011111010001
119 	1011011111010010
120 	1011011111010011
122 	101101111011000
123 	1011011111010100
124 	10000010110111
125 	101101111011001
128 	101101111011010
130 	10000010111000
136 	1011011111010101
137 	1011011111010110
138 	1011011111010111
142 	1011011111011000
144 	1011011111011001
146 	1011011111011010
148 	1011011111011011
151 	1011011111011100
152 	1011011111011101
154 	1011011111011110
155 	1011011111011111
162 	1100100000100000
180 	1100100000100001
# Theoretical entropy: 	4.84904206978 bits per symbol
# Huffman code avg.len:	4.88124184353 bits per symbol
